ID,Header,Type,Connections,MaxConnections,Storage,Action,LatencyTimeUnit,Writers,Readers,MaxWriters,MaxReaders,WriteRequestMB,WriteRequestRecords,WriteRequestRecords/Sec,WriteRequestMB/Sec,ReadRequestMB,ReadRequestRecords,ReadRequestRecords/Sec,ReadRequestMB/Sec,WriteResponsePendingMB,WriteResponsePendingRecords,ReadResponsePendingMB,ReadResponsePendingRecords,WriteReadRequestPendingMB,WriteReadRequestPendingRecords,ReportSeconds,MB,Records,Records/Sec,MB/Sec,AvgLatency,MinLatency,MaxLatency,InvalidLatencies,LowerDiscard,HigherDiscard,SLC1,SLC2,Percentile_5,Percentile_10,Percentile_20,Percentile_25,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_75,Percentile_80,Percentile_90,Percentile_92.5,Percentile_95,Percentile_97.5,Percentile_99,Percentile_99.25,Percentile_99.5,Percentile_99.75,Percentile_99.9,Percentile_99.95,Percentile_99.99
               1,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,        7.3,          764620,   152872.8,    1.46,    0.00,          0,    0.12,      12247,    0.00,          0,       5,        7.2,          752373,   150424.2,    1.43,  6485.0,   1242,4581097,       0,       0,       0, 0,55,   1476,   1527,   1604,   1638,   1673,   1749,   1844,   2068,   3402,   8084,   9127,  12447,  13685,  16248,  36201,  71416,  98421, 141012, 173395, 221991, 271676, 445935
               2,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,       14.5,         1524880,   304915.0,    2.91,    0.00,          0,    0.06,       6392,    0.00,          0,       5,       14.6,         1530735,   306085.7,    2.92,  3175.6,   1216,3355704,       0,       0,       0, 1,10,   1475,   1534,   1625,   1669,   1718,   1856,   2194,   2353,   2488,   2570,   2685,   4271,   8551,   9988,  14248,  22526,  25669,  29694,  36175,  50243,  61077,  87697
               3,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,       25.7,         2695133,   538918.8,    5.14,    0.00,          0,    0.03,       2781,    0.00,          0,       5,       25.7,         2698744,   539640.8,    5.15,  1772.0,   1127,3234635,       0,       0,       0, 0, 9,   1224,   1250,   1296,   1322,   1352,   1432,   1473,   1513,   1559,   1589,   1634,   1768,   1835,   2118,   3561,   9954,  15899,  20071,  25722,  32017,  37025,  66075
               4,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,       28.5,         2989216,   597723.3,    5.70,    0.00,          0,    0.02,       2496,    0.00,          0,       5,       28.5,         2989501,   597780.3,    5.70,  1597.4,   1118,2791592,       0,       0,       0, 0, 8,   1218,   1239,   1273,   1289,   1307,   1347,   1419,   1460,   1494,   1513,   1532,   1585,   1609,   1663,   1790,   9016,   9723,  16530,  23301,  29085,  33448,  55506
               5,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,       27.7,         2902524,   580388.5,    5.54,    0.00,          0,    0.02,       2280,    0.00,          0,       5,       27.7,         2902740,   580431.6,    5.54,  1645.4,   1122,2965217,       0,       0,       0, 0, 8,   1228,   1254,   1297,   1318,   1341,   1409,   1460,   1499,   1538,   1560,   1588,   1710,   1760,   1821,   1950,   9065,  10046,  16255,  22623,  28569,  33287,  52743
               6,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,       28.1,         2946669,   589214.6,    5.62,    0.00,          0,    0.02,       2346,    0.00,          0,       5,       28.1,         2946603,   589201.4,    5.62,  1626.4,   1120,2779033,       0,       0,       0, 0, 8,   1235,   1257,   1293,   1311,   1330,   1388,   1448,   1484,   1520,   1539,   1559,   1616,   1648,   1715,   1838,   9009,   9753,  16384,  23121,  29058,  33575,  54678
               7,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,       27.1,         2839943,   567874.6,    5.42,    0.00,          0,    0.02,       1601,    0.00,          0,       5,       27.1,         2840688,   568023.6,    5.42,  1685.0,   1132,2559282,       0,       0,       0, 0, 8,   1248,   1276,   1323,   1348,   1381,   1451,   1495,   1535,   1577,   1603,   1642,   1795,   1843,   1907,   2143,   9017,  10010,  15685,  22171,  28320,  33073,  55427
               8,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,       27.9,         2920853,   584053.4,    5.57,    0.00,          0,    0.02,       1916,    0.00,          0,       5,       27.9,         2920538,   583990.4,    5.57,  1641.1,   1116,2550641,       0,       0,       0, 0, 8,   1239,   1263,   1303,   1324,   1348,   1421,   1467,   1506,   1544,   1564,   1588,   1693,   1748,   1816,   1922,   8921,   9647,  15582,  22198,  28718,  33098,  53991
               9,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,       28.2,         2957731,   591427.8,    5.64,    0.00,          0,    0.02,       2146,    0.00,          0,       5,       28.2,         2957501,   591381.8,    5.64,  1618.5,   1122,2330778,       0,       0,       0, 0, 8,   1232,   1255,   1291,   1309,   1328,   1383,   1447,   1483,   1519,   1538,   1558,   1616,   1647,   1713,   1840,   8966,   9653,  16156,  22837,  29136,  33866,  53400
              10,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,       28.7,         3014171,   601472.8,    5.74,    0.00,          0,   26.10,    2737048,    0.00,          0,       5,        2.7,          279269,    55727.7,    0.53,  1693.7,   1147,1923589,       0,       0,       0, 0, 8,   1243,   1270,   1314,   1338,   1365,   1436,   1481,   1521,   1561,   1584,   1613,   1738,   1787,   1848,   1998,   9599,  11533,  17715,  23663,  28553,  33005,  53456
              11,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    0,    0,    1,        0.0,               0,        0.0,    0.00,       57.9,         6072263,   608145.5,    5.80,    0.00,          0,   84.01,    8809311,    0.00,          0,       9,        0.0,               0,        0.0,    0.00,     0.0,      0,      0,       0,       0,       0, 0, 0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
              12,sbk,Total,0,0,Rocksdb,Reading,NANOSECONDS,    0,    0,    0,    1,        0.0,               0,        0.0,    0.00,      301.6,        31628003,   527081.5,    5.03,    0.00,          0,   84.01,    8809311,    0.00,          0,      60,      217.6,        22818692,   380274.1,    3.63,  1915.3,   1116,4581097,       0,       0,       0, 0,16,   1234,   1260,   1304,   1327,   1355,   1434,   1477,   1518,   1561,   1588,   1629,   1827,   1981,   2467,   6123,  13700,  16204,  21256,  28217,  41714,  60030, 164856
